Textual_feature,Credit_label
"Status of existing checking account is less than 0 DM; Duration in month is 6; Credit history is critical account or other credits existing (not at this bank); Purpose is radio/television; Credit amount is 1169; Savings account/bonds is unknown/ no savings account; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is real estate; Age in years is 67; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 9; Credit history is existing credits paid back duly till now; Purpose is car (new); Credit amount is 276; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is married/widowed male; Other debtors or guarantors is none; Present residence since is 4; Property is real estate; Age in years is 22; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 48; Credit history is existing credits paid back duly till now; Purpose is others; Credit amount is 5381; Savings account/bonds is unknown/ no savings account; Present employment since is unemployed; Installment rate in percentage of disposable income is 3; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 40; Other installment plans is bank; Housing is for free; Number of existing credits at this bank is 1; Job is unemployed or unskilled  - non-resident; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is no checking account; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 5511; Savings account/bonds is between 100 DM and 500 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 1; Property is car or other; Age in years is 25; Other installment plans is stores; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is larger than 200 DM or salary assignments for at least 1 year; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 3749; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 2; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 26; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 12; Credit history is existing credits paid back duly till now; Purpose is car (new); Credit amount is 685; Savings account/bonds is less than 100 DM; Present employment since is between 4 years to 7 years; Installment rate in percentage of disposable income is 2; Personal status and sex is married/widowed male; Other debtors or guarantors is none; Present residence since is 3; Property is car or other; Age in years is 25; Other installment plans is bank; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is larger than 200 DM or salary assignments for at least 1 year; Duration in month is 4; Credit history is existing credits paid back duly till now; Purpose is car (new); Credit amount is 1494; Savings account/bonds is unknown/ no savings account; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 1; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is real estate; Age in years is 29; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 2; Telephone is none; foreign worker is no.,Good
Status of existing checking account is less than 0 DM; Duration in month is 36; Credit history is all credits at this bank paid back duly; Purpose is furniture/equipment; Credit amount is 2746; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 31; Other installment plans is bank; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is less than 0 DM; Duration in month is 12; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 708; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is guarantor; Present residence since is 3; Property is building society savings agreement/life insurance; Age in years is 38; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 2; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 4351; Savings account/bonds is unknown/ no savings account; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 1; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is building society savings agreement/life insurance; Age in years is 48; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is no checking account; Duration in month is 12; Credit history is critical account or other credits existing (not at this bank); Purpose is education; Credit amount is 701; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 32; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is less than 0 DM; Duration in month is 15; Credit history is delay in paying off in the past; Purpose is furniture/equipment; Credit amount is 3643; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 1; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is building society savings agreement/life insurance; Age in years is 27; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 30; Credit history is critical account or other credits existing (not at this bank); Purpose is car (new); Credit amount is 4249; Savings account/bonds is less than 100 DM; Present employment since is unemployed; Installment rate in percentage of disposable income is 4; Personal status and sex is married/widowed male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 28; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is less than 0 DM; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 1938; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated male; Other debtors or guarantors is none; Present residence since is 3; Property is building society savings agreement/life insurance; Age in years is 32; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
"Status of existing checking account is less than 0 DM; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is car (used); Credit amount is 2910; Savings account/bonds is less than 100 DM; Present employment since is between 4 years to 7 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 1; Property is unknown or no property; Age in years is 34; Other installment plans is none; Housing is for free; Number of existing credits at this bank is 1; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is less than 0 DM; Duration in month is 18; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 2659; Savings account/bonds is larger than 1000 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 28; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is no checking account; Duration in month is 18; Credit history is critical account or other credits existing (not at this bank); Purpose is car (new); Credit amount is 1028; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 3; Property is real estate; Age in years is 36; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is less than 0 DM; Duration in month is 8; Credit history is critical account or other credits existing (not at this bank); Purpose is car (new); Credit amount is 3398; Savings account/bonds is less than 100 DM; Present employment since is between 4 years to 7 years; Installment rate in percentage of disposable income is 1; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is real estate; Age in years is 39; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is no.,Good
"Status of existing checking account is no checking account; Duration in month is 12; Credit history is critical account or other credits existing (not at this bank); Purpose is furniture/equipment; Credit amount is 5801; Savings account/bonds is unknown/ no savings account; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is building society savings agreement/life insurance; Age in years is 49; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
"Status of existing checking account is no checking account; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is car (new); Credit amount is 1525; Savings account/bonds is larger than 1000 DM; Present employment since is between 4 years to 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 3; Property is car or other; Age in years is 34; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 2; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is larger than 200 DM or salary assignments for at least 1 year; Duration in month is 36; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 4473; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 31; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 6; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 1068; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 28; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 2; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is less than 0 DM; Duration in month is 24; Credit history is critical account or other credits existing (not at this bank); Purpose is car (used); Credit amount is 6615; Savings account/bonds is less than 100 DM; Present employment since is unemployed; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 75; Other installment plans is none; Housing is for free; Number of existing credits at this bank is 2; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is no checking account; Duration in month is 18; Credit history is critical account or other credits existing (not at this bank); Purpose is education; Credit amount is 1864; Savings account/bonds is between 100 DM and 500 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 2; Property is real estate; Age in years is 30; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 60; Credit history is existing credits paid back duly till now; Purpose is car (new); Credit amount is 7408; Savings account/bonds is between 100 DM and 500 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 2; Property is building society savings agreement/life insurance; Age in years is 24; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is no checking account; Duration in month is 48; Credit history is critical account or other credits existing (not at this bank); Purpose is car (used); Credit amount is 11590; Savings account/bonds is between 100 DM and 500 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 24; Other installment plans is bank; Housing is rent; Number of existing credits at this bank is 2; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is less than 0 DM; Duration in month is 24; Credit history is no credits taken or all credits paid back duly; Purpose is furniture/equipment; Credit amount is 4110; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 3; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 23; Other installment plans is bank; Housing is rent; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 2; Telephone is none; foreign worker is yes.,Bad
"Status of existing checking account is less than 0 DM; Duration in month is 6; Credit history is critical account or other credits existing (not at this bank); Purpose is furniture/equipment; Credit amount is 3384; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 1; Personal status and sex is divorced/separated male; Other debtors or guarantors is none; Present residence since is 4; Property is real estate; Age in years is 44; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Bad
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 13; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 2101; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 2; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is guarantor; Present residence since is 4; Property is building society savings agreement/life insurance; Age in years is 23; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is less than 0 DM; Duration in month is 15; Credit history is existing credits paid back duly till now; Purpose is domestic appliances; Credit amount is 1275; Savings account/bonds is unknown/ no savings account; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 24; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is less than 0 DM; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 4169; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is building society savings agreement/life insurance; Age in years is 28; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 10; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 1521; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 31; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 24; Credit history is critical account or other credits existing (not at this bank); Purpose is education; Credit amount is 5743; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 2; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 24; Other installment plans is none; Housing is for free; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is less than 0 DM; Duration in month is 21; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 3599; Savings account/bonds is less than 100 DM; Present employment since is between 4 years to 7 years; Installment rate in percentage of disposable income is 1; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 26; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 18; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 3213; Savings account/bonds is between 500 DM and 1000 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 1; Personal status and sex is married/widowed male; Other debtors or guarantors is none; Present residence since is 3; Property is real estate; Age in years is 25; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 18; Credit history is existing credits paid back duly till now; Purpose is business; Credit amount is 4439; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 1; Personal status and sex is single male; Other debtors or guarantors is co-applicant; Present residence since is 1; Property is real estate; Age in years is 33; Other installment plans is bank; Housing is own; Number of existing credits at this bank is 1; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is larger than 200 DM or salary assignments for at least 1 year; Duration in month is 10; Credit history is existing credits paid back duly till now; Purpose is car (new); Credit amount is 3949; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 1; Personal status and sex is single male; Other debtors or guarantors is guarantor; Present residence since is 1; Property is building society savings agreement/life insurance; Age in years is 37; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 2; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is no checking account; Duration in month is 15; Credit history is critical account or other credits existing (not at this bank); Purpose is radio/television; Credit amount is 1459; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 43; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 13; Credit history is critical account or other credits existing (not at this bank); Purpose is radio/television; Credit amount is 882; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is guarantor; Present residence since is 4; Property is real estate; Age in years is 23; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 3758; Savings account/bonds is between 500 DM and 1000 DM; Present employment since is unemployed; Installment rate in percentage of disposable income is 1; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 23; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is unemployed or unskilled  - non-resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is no checking account; Duration in month is 6; Credit history is delay in paying off in the past; Purpose is business; Credit amount is 1743; Savings account/bonds is between 100 DM and 500 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 1; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is real estate; Age in years is 34; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 9; Credit history is critical account or other credits existing (not at this bank); Purpose is education; Credit amount is 1136; Savings account/bonds is larger than 1000 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 3; Property is unknown or no property; Age in years is 32; Other installment plans is none; Housing is for free; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 2; Telephone is none; foreign worker is yes.,Bad
"Status of existing checking account is no checking account; Duration in month is 9; Credit history is existing credits paid back duly till now; Purpose is domestic appliances; Credit amount is 1236; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 1; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is real estate; Age in years is 23; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 9; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 959; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 1; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 29; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is no.,Bad
"Status of existing checking account is no checking account; Duration in month is 18; Credit history is critical account or other credits existing (not at this bank); Purpose is car (used); Credit amount is 3229; Savings account/bonds is unknown/ no savings account; Present employment since is unemployed; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 38; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
"Status of existing checking account is less than 0 DM; Duration in month is 12; Credit history is no credits taken or all credits paid back duly; Purpose is radio/television; Credit amount is 6199; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is building society savings agreement/life insurance; Age in years is 28; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Bad
"Status of existing checking account is no checking account; Duration in month is 10; Credit history is existing credits paid back duly till now; Purpose is education; Credit amount is 727; Savings account/bonds is between 500 DM and 1000 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 46; Other installment plans is none; Housing is for free; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is car (new); Credit amount is 1246; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is real estate; Age in years is 23; Other installment plans is stores; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
"Status of existing checking account is no checking account; Duration in month is 12; Credit history is critical account or other credits existing (not at this bank); Purpose is radio/television; Credit amount is 2331; Savings account/bonds is unknown/ no savings account; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 1; Personal status and sex is single male; Other debtors or guarantors is co-applicant; Present residence since is 4; Property is real estate; Age in years is 49; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
"Status of existing checking account is no checking account; Duration in month is 36; Credit history is delay in paying off in the past; Purpose is radio/television; Credit amount is 4463; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 26; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Bad
Status of existing checking account is no checking account; Duration in month is 12; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 776; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is married/widowed male; Other debtors or guarantors is none; Present residence since is 2; Property is real estate; Age in years is 28; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is less than 0 DM; Duration in month is 30; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 2406; Savings account/bonds is less than 100 DM; Present employment since is between 4 years to 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is real estate; Age in years is 23; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 18; Credit history is existing credits paid back duly till now; Purpose is education; Credit amount is 1239; Savings account/bonds is unknown/ no savings account; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 61; Other installment plans is none; Housing is for free; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is larger than 200 DM or salary assignments for at least 1 year; Duration in month is 12; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 3399; Savings account/bonds is unknown/ no savings account; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 3; Property is car or other; Age in years is 37; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
