Textual_feature,Credit_label
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is negative balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Bad
Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Bad
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Bad
Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is unemployed; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is a co-applicant for other debts; Property is real estate; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Bad
Checking account is low balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is negative balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is younger than 50% of all cases in the bank; Other installment plans are stores; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Bad
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is younger than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is older than 50% of all cases in the bank; Other installment plans are banks; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Bad
Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is no.,Good
Checking account is low balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is negative balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Bad
Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is low balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is negative balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is older than 50% of all cases in the bank; Other installment plans are banks; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is no.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is low balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is low balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Bad
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is no.,Good
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is low balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is unemployed; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is older than 50% of all cases in the bank; Other installment plans are banks; Housing is not own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is unemployed; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Bad
Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is low balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Bad
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Bad
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
Checking account is low balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is unemployed; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Bad
Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is no.,Good
Checking account is negative balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Bad
Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is unemployed; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Bad
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,Good
Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,Good
